AGI	ProbeID	Gene Symbol	Description	PLT1_FC	PLT2_FC	PLT3_FC	PLT4_FC	PLT5_FC	PLT7_FC	QC_1h_FC	QC_4h_FC	PLT1_p	PLT2_p	PLT3_p	PLT4_p	PLT5_p	PLT7_p	QC_1h_p	QC_4h_p	PLT1	PLT2	PLT3	PLT4	PLT5	PLT7	QC_1h_plt	QC_4h_plt
11	AT1G01540	AT1G01540_at	NA	NA	-0.99	-0.4	-0.64	-0.83	-0.48	-0.98	-0.27	-0.64	5.13799152529363e-06	0.0781150196016331	0.00287152063639632	5.92730992757773e-05	0.00965642850946549	7.22752476137491e-06	0.981429539500468	0.00504916847368373	-1	0	0	-1	0	-1	0	0
12	AT1G01600	AT1G01600_at	CYP86A4	Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers.	-0.63	0.18	-0.52	-0.34	-0.6	-0.95	-0.14	-0.1	0.00140648548303895	0.655075816912221	0.0250559313564918	0.0812637441612925	0.00565307591668162	3.8164915156536e-05	0.998342219233687	0.644496669442487	0	0	0	0	0	-1	0	0
13	AT1G01610	AT1G01610_at	ATGPAT4 GPAT4	Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8.	-1.4	-0.89	-0.95	-0.93	-0.81	-1.1	-0.078	0.0076	8.1537032673089e-08	0.00558522534016292	0.000115565833660239	1.80730463428754e-05	0.000188596026140303	1.42112934122379e-06	0.998342219233687	0.977229153074613	-1	-1	-1	-1	-1	-1	0	0
14	AT1G01620	AT1G01620_at	PIP1;3 PIP1C TMP-B	a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.	-1.2	-0.51	-0.74	-0.99	-0.52	-1.2	0.12	0.25	1.30175494780287e-08	0.0269017513443427	4.5410243436137e-05	3.381247168302e-07	0.000391992924492655	2.17562633991955e-08	0.998342219233687	0.188883436336607	-1	0	0	-1	0	-1	0	0
15	AT1G01630	AT1G01630_at	NA	NA	-1	-0.44	-0.51	-0.81	-0.45	-1.3	0.018	-0.27	1.15191301461206e-07	0.0299838677579279	0.00122628469487317	2.80314951083881e-06	0.00154012958802328	1.84611765333844e-08	0.998342219233687	0.141797495607726	-1	0	0	-1	0	-1	0	0
16	AT1G01720	AT1G01720_at	ANAC002 ATAF1	Belongs to a large family of putative transcriptional activators with NAC domain. Transcript level increases in response to wounding and abscisic acid. ATAF1 attentuates ABA signaling and sythesis. Mutants are hyposensitive to ABA.	-0.93	-0.57	-1.2	-0.56	-0.61	-1.3	-0.022	-0.0057	0.0033607146444703	0.0382697238579436	0.00401217328661858	0.0769820571827975	0.0727709986616829	0.000338416388221575	0.998342219233687	0.980990771041856	0	0	0	0	0	-1	0	0
17	AT1G01750	AT1G01750_at	ADF11	NA	-2.3	-0.68	-1.2	-1.5	-1.2	-1.5	0.29	-0.45	1.76719441040401e-08	0.0333440094605991	0.000304498816547021	5.88449611229551e-06	0.00016262691428934	2.13298842516679e-06	0.998342219233687	0.356486221919195	-1	0	-1	-1	-1	-1	0	0
18	AT1G01900	AT1G01900_at	ATSBT1.1 SBTI1.1	Encodes AtSBT1.1, a subtilisin-like serine protease.  Cleaves the phytosulfokine AtPSK4, a growth promoting peptide.	-1.2	-0.64	-0.91	-0.81	-0.65	-1.1	-0.0017	-0.2	9.21874184729008e-05	0.0969964909757656	0.00536767582608129	0.00362908817121982	0.0214669610078467	0.000218820992737184	0.998864964929684	0.297732023193276	-1	0	0	0	0	-1	0	0
19	AT1G02110	AT1G02110_at	NA	NA	0.91	0.52	0.31	0.56	0.27	0.64	-0.0044	0.3	0.000148988494936868	0.0270404560207813	0.245310594454061	0.0108228000036077	0.26478334496423	0.00342150667496605	0.998342219233687	0.0603773860406024	1	0	0	0	0	0	0	0
20	AT1G02300	AT1G02300_at	NA	NA	-1.1	-0.1	-0.21	0.15	0.054	-0.7	-0.14	-0.11	1.42577905919512e-05	0.707873377050517	0.412572957097027	0.477942101094907	0.856067266283254	0.000928870506650839	0.998342219233687	0.611533736847152	-1	0	0	0	0	0	0	0
21	AT1G02340	AT1G02340_at	FBI1 HFR1 REP1 RSF1	Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1.	-0.95	-0.6	-0.72	-0.77	-0.73	-0.93	-0.029	-0.23	1.31413973867123e-07	0.0270936998840477	4.96517345434538e-05	3.19337307150436e-06	1.86536467569384e-05	2.52279411379524e-07	0.998342219233687	0.262437420225773	-1	0	0	0	0	-1	0	0
22	AT1G02360	AT1G02360_at	NA	NA	-1.1	-1.3	-0.27	-0.44	-0.29	-0.79	-0.24	-0.29	0.00419093352034829	0.00415480803300691	0.633835416793328	0.28652588290509	0.551340619508154	0.034293000274405	0.998342219233687	0.223384569106004	0	-1	0	0	0	0	0	0
23	AT1G02370	AT1G02370_at	NA	NA	1.5	0.71	1.3	1.5	1.4	1.5	0.25	0.72	4.16885118248234e-09	0.0204902687591974	5.25048242162164e-07	1.79059875878297e-08	9.75192193433245e-08	6.93884694068929e-09	0.998342219233687	0.00938354415364211	1	0	1	1	1	1	0	0
24	AT1G02400	AT1G02400_at	ATGA2OX4 ATGA2OX6 DTA1 GA2OX6	Encodes a gibberellin 2-oxidase that acts on C19 gibberellins but not C20 gibberellins.	-1.3	-0.74	-1	-0.91	-0.72	-1.3	-0.2	-0.54	4.03516575268877e-06	0.0605454241327136	0.000394107064854271	0.000232882720325084	0.00296628404581359	2.85921465052545e-06	0.998342219233687	0.0552512328986298	-1	0	-1	-1	0	-1	0	0
25	AT1G02470	AT1G02470_at	NA	NA	2.2	0.87	0.41	0.32	-0.049	1	0.088	0.02	6.24037387130629e-05	0.00710462400331419	0.515910822635435	0.54668110576331	0.949146426583224	0.0203302074882231	0.998342219233687	0.930430570594171	1	1	0	0	0	0	0	0
26	AT1G02640	AT1G02640_at	ATBXL2 BXL2	encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members.	-0.99	-0.44	0.5	-0.18	0.58	-0.6	0.3	0.11	1.18496554495424e-05	0.176139327398727	0.020625066724913	0.354361635971398	0.0044087872520971	0.0014951250479421	0.998342219233687	0.718428627347493	-1	0	0	0	0	0	0	0
27	AT1G02660	AT1G02660_at	NA	NA	-0.7	-0.79	-0.39	-0.49	-0.52	-0.75	-0.32	-0.31	0.00027707810873966	0.015013057827553	0.0640188412567796	0.00717299809389977	0.00808108273709847	0.000181282908828585	0.984789457334533	0.109518500601917	0	-1	0	0	0	0	0	0
28	AT1G02690	AT1G02690_at	IMPA-6	Putative importin alpha isoform. When overexpressed can rescue the impa-4 decreased transformation susceptibility phenotype.	1.2	0.29	0.86	0.83	0.64	0.73	0.04	0.51	2.31270111859952e-07	0.176301175448128	0.000128713677287019	2.45022705209101e-05	0.000606182686119469	5.20882239402626e-05	0.998342219233687	0.0108364652953555	1	0	1	1	0	0	0	0
29	AT1G02810	AT1G02810_at	NA	NA	3.6	2.5	3.1	2.9	2.9	3.1	0.21	0.32	4.54459901002171e-10	0.000755383598137951	6.52582375022323e-08	2.11894666740465e-08	3.57344137572412e-08	3.80851050843747e-09	0.998342219233687	0.178757022165041	1	1	1	1	1	1	0	0
30	AT1G02850	AT1G02850_at	BGLU11	NA	-0.64	0.027	-0.75	-0.16	-0.82	-1.1	-0.16	-0.14	0.00443287005925934	0.921285657986161	0.00763449211691631	0.532822393330546	0.00203919785428524	3.76271651003749e-05	0.998342219233687	0.639876593128821	0	0	0	0	0	-1	0	0
31	AT1G02870	AT1G02870_at	NA	NA	0.88	0.67	0.68	0.94	0.71	0.85	0.12	0.52	4.86880288904064e-06	0.0162093674422047	0.00071385014980335	5.45219296834467e-06	0.00021326310206617	8.85810398722093e-06	0.998342219233687	0.00613992998432854	1	1	0	1	0	1	0	0
32	AT1G02900	AT1G02900_at	ATRALF1 RALF1 RALFL1	Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide. Mediates  Ca2+-dependent signaling.	-2.2	-1	-0.7	-0.57	-0.42	-1.1	0.018	-0.63	7.93712653077198e-07	0.0197402612690203	0.0613543013456266	0.0714353126369574	0.23293497336164	0.000636402690579855	0.998342219233687	0.109910503287132	-1	-1	0	0	0	-1	0	0
33	AT1G02950	AT1G02950_at	ATGSTF4 GST31 GSTF4	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).	-1.1	-0.52	-0.72	-0.67	-0.56	-1.1	-0.11	-0.3	7.91955475786908e-05	0.0724596751606719	0.0156883139102863	0.00858394743494712	0.0358891945103764	0.000117799253005974	0.998342219233687	0.420305127890197	-1	0	0	0	0	-1	0	0
34	AT1G03090	AT1G03090_at	MCCA	MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion.	0.67	-0.24	0.16	0.097	-0.025	0.84	-0.091	0.18	0.00120192467956921	0.455611598682696	0.553246723121876	0.683995088377646	0.939991646662712	0.000200639047819909	0.998342219233687	0.322714984490353	0	0	0	0	0	1	0	0
35	AT1G03110	AT1G03110_at	AtTRM82 TRM82	NA	1.1	0.38	0.75	1	0.59	0.77	0.059	0.52	7.04580045551726e-07	0.0484623971947111	0.000326889250525743	3.19337307150436e-06	0.00099251152047639	2.54809567980737e-05	0.998342219233687	0.0119521848924497	1	0	0	1	0	0	0	0
36	AT1G03130	AT1G03130_at	PSAD-2	Encodes a protein predicted by sequence similarity with spinach PsaD to be photosystem I reaction center subunit II (PsaD2)	-0.97	-0.55	-0.29	-0.41	-0.31	-0.75	-0.091	0.12	6.50247026788512e-08	0.107304915402704	0.0247813224265183	0.000788123857991676	0.00940715292307608	1.24471882580438e-06	0.998342219233687	0.55320528580126	-1	0	0	0	0	0	0	0
37	AT1G03250	AT1G03250_at	NA	NA	0.89	0.47	0.32	0.54	0.38	0.76	0.098	0.34	2.00642415319528e-06	0.0243946385600045	0.0568587361905985	0.000575560098794801	0.0125060129824038	1.34348379741556e-05	0.998342219233687	0.14519046383562	1	0	0	0	0	0	0	0
38	AT1G03270	AT1G03270_at	NA	NA	1.4	0.83	0.29	0.52	0.17	0.95	0.42	1.4	6.09904434786383e-05	0.016623670781447	0.475859921308694	0.0918485373606743	0.674644420306769	0.00255869480596912	0.843109662515263	0.000668694236389108	1	1	0	0	0	0	0	1
39	AT1G03360	AT1G03360_at	ATRRP4 RRP4	NA	0.97	0.6	0.93	1.2	0.86	0.56	0.21	0.77	7.98418434562717e-07	0.0260296951229884	2.81752879051518e-05	3.92459304605668e-07	2.37004733435977e-05	0.000270427925893283	0.998342219233687	0.00837053058749484	1	0	1	1	1	0	0	0
40	AT1G03470	AT1G03470_at	NET3A	NA	0.56	0.28	0.11	0.3	-0.092	0.86	0.046	0.29	0.00102755734740882	0.289682224633436	0.644847621630036	0.0633147721812853	0.666923642369861	1.99456721985401e-05	0.998342219233687	0.0664166930896092	0	0	0	0	0	1	0	0
41	AT1G03510	AT1G03510_at	NA	NA	0.87	0.22	0.47	0.61	0.59	0.59	0.2	0.33	3.7946982901728e-06	0.374298497674393	0.0073160736396969	0.000262397287954418	0.000708095112954059	0.000220615524774463	0.998342219233687	0.0428361703014485	1	0	0	0	0	0	0	0
42	AT1G03530	AT1G03530_at	ATNAF1 NAF1	NA	1.4	0.42	0.92	1.5	1	1.2	0.22	0.77	2.68229324549615e-07	0.0752418860149278	0.00022389987014292	3.51413770761694e-07	4.46274270536576e-05	1.91406361370728e-06	0.998342219233687	0.0012586622657651	1	0	1	1	1	1	0	0
43	AT1G03590	AT1G03590_at	NA	NA	-1.6	-0.89	-0.98	-1	-0.81	-1.1	-0.08	-0.19	6.4705600413721e-09	0.00956494227703716	2.5191148501656e-05	2.15820599448073e-06	5.95497466735461e-05	4.37370237044284e-07	0.998342219233687	0.367147799888441	-1	-1	-1	-1	0	-1	0	0
44	AT1G03610	AT1G03610_at	NA	NA	-0.2	-0.7	-0.38	-0.87	-0.52	0.08	-0.15	-0.038	0.15130155151682	0.0411954006162707	0.032966976575266	1.25729074046891e-05	0.00276466682242112	0.617362060322647	0.998342219233687	0.886757003280537	0	0	0	-1	0	0	0	0
45	AT1G03760	AT1G03760_at	NA	NA	1.1	0.45	0.83	1	0.88	0.99	0.19	0.54	8.45077487250985e-05	0.0733214521354938	0.00639770213785909	0.000286564698258085	0.00199223357848332	0.000249519964867264	0.998342219233687	0.112807954788142	1	0	0	1	1	1	0	0
46	AT1G03850	AT1G03850_at	ATGRXS13 GRXS13	NA	-1.3	-1.3	-1.5	-1.2	-1.1	-1.9	-0.39	-0.13	9.6919569388932e-05	0.0111737012156844	0.000178125263174117	0.000281061630121765	0.00147184071637109	2.13675014362479e-06	0.998342219233687	0.662942038923309	-1	-1	-1	-1	-1	-1	0	0
47	AT1G03870	AT1G03870_at	FLA9	fasciclin-like arabinogalactan-protein 9 (Fla9)	-4.6	-0.76	-1.8	-2.2	-1.1	-3.9	-0.29	-0.84	1.40602696587415e-05	0.0167428681208157	0.0768862748126211	0.0117861848144856	0.235067176416454	0.000106000486543234	0.998342219233687	0.0540061393370571	-1	-1	0	0	0	-1	0	0
48	AT1G03920	AT1G03920_at	NA	NA	-0.57	-0.75	-0.35	-0.49	-0.36	-0.53	0.16	0.16	0.000387671958122645	0.00723669698045306	0.0487196117550154	0.00213235077819418	0.0264776974506959	0.000759804447680518	0.998342219233687	0.262188173559053	0	-1	0	0	0	0	0	0
49	AT1G04030	AT1G04030_at	NA	NA	1.3	-0.065	0.54	0.55	0.32	0.65	0.14	0.12	3.40607175067062e-06	0.751231379252083	0.0328223281368717	0.0113552130533109	0.165592106458217	0.00250578925948814	0.998342219233687	0.460380437254187	1	0	0	0	0	0	0	0
50	AT1G04040	AT1G04040_at	NA	NA	-3.1	-0.59	-1.4	-2.2	-0.89	-2.9	-0.043	-0.46	2.13531301595081e-06	0.0273641054645468	0.0187313133174853	0.000179891713845365	0.0899095944462824	5.76515896900313e-06	0.998342219233687	0.151925942840269	-1	0	0	-1	0	-1	0	0
51	AT1G04100	AT1G04100_at	IAA10	Auxin induced gene, IAA10 (IAA10).	0.81	0.36	0.14	0.15	0.07	1.1	0.022	0.043	9.95022939285459e-06	0.100668322867738	0.468170409145817	0.334207604442959	0.719542804859332	5.9530752662633e-07	0.998342219233687	0.890712866135026	0	0	0	0	0	1	0	0
52	AT1G04110	AT1G04110_at	AtSDD1 SDD1	Initially identified as a mutation affecting stomatal development and distribution. Encodes a protein similar to serine proteases.	-0.76	-0.54	-0.27	-0.33	-0.51	-0.94	0.039	0.02	0.00194785842214558	0.0746859373301599	0.398547013680422	0.177399835846452	0.0516011355063019	0.000381287772197149	0.998342219233687	0.919262546999712	0	0	0	0	0	-1	0	0
53	AT1G04120	AT1G04120_at	ABCC5 ATABCC5 ATMRP5 MRP5	encodes a high-affinity inositol hexakisphosphate transporter that plays a role in guard cell signaling and phytate storage. It is a member of MRP subfamily / ABC transporter subfamily C.	-0.85	-0.42	-0.6	-0.75	-0.41	-0.98	-0.12	-0.46	7.2474304772664e-06	0.0336695962031474	0.00195008886893484	5.19651267301602e-05	0.0119987001533413	2.0816024744599e-06	0.998342219233687	0.0320642140154708	-1	0	0	0	0	-1	0	0
54	AT1G04180	AT1G04180_at	YUC9	NA	0.25	1.6	0.15	0.25	0.24	0.019	-0.2	-0.49	0.0497877860236466	0.015040828421983	0.393982296648983	0.0747111503800521	0.0995140645713596	0.906500193122866	0.998342219233687	0.251927898358058	0	1	0	0	0	0	0	0
55	AT1G04220	AT1G04220_at	KCS2	Encodes KCS2, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).	-1	-0.51	-1.1	-0.67	-0.98	-1.5	-0.043	0.061	0.000116401108765772	0.0690850909352949	0.000421850132866299	0.00590785346077541	0.000641185978938065	2.26490815939247e-06	0.998342219233687	0.794216378041732	-1	0	-1	0	-1	-1	0	0
56	AT1G04350	AT1G04350_at	NA	encodes a protein whose sequence is similar to 2-oxoglutarate-dependent dioxygenase	-1.7	-0.44	-0.89	-0.65	-0.55	-1.4	0.071	0.15	0.000359181264049069	0.172842890883459	0.0849404431522909	0.138358201118354	0.251510294100581	0.00187052160197221	0.998342219233687	0.46290208802214	-1	0	0	0	0	-1	0	0
57	AT1G04430	AT1G04430_at	NA	NA	-1.9	-0.52	-0.6	-1.1	-0.43	-1.7	-0.056	-0.6	2.20550085008021e-07	0.0267773098670197	0.0379833579859648	0.000205815068699681	0.100064220810996	1.18784081894072e-06	0.998342219233687	0.033626038866857	-1	0	0	-1	0	-1	0	0
58	AT1G04520	AT1G04520_at	PDLP2	NA	1.1	0.22	0.71	0.014	0.27	0.93	0.24	0.36	3.37823183904627e-05	0.275132120758393	0.0110591640138981	0.964206663905856	0.288042473247571	0.000240972466415041	0.998342219233687	0.127928428669447	1	0	0	0	0	1	0	0
59	AT1G04590	AT1G04590_at	NA	NA	1.2	0.58	0.7	0.89	0.58	0.55	0.16	0.44	8.1537032673089e-08	0.0137493726672788	0.000316261597238656	5.09350747519721e-06	0.000621258335299256	0.000339906011942866	0.998342219233687	0.0408584310127237	1	0	0	1	0	0	0	0
60	AT1G04610	AT1G04610_at	YUC3	NA	4.8	3.5	0.75	0.77	0.69	2	2	2.5	2.85623261087761e-09	0.000455213184811387	0.123956094493767	0.0564029935357682	0.114872685375961	4.8780025375179e-05	0.0034311748414928	0.000129308238420137	1	1	0	0	0	1	1	1
61	AT1G04620	AT1G04620_at	HCAR	NA	0.6	0.69	-0.035	0.88	0.043	1	0.075	0.11	0.012090662973908	0.0180815678015412	0.935581183473398	0.00113794412359095	0.911379951455946	0.000266143815352858	0.998342219233687	0.658904986838925	0	1	0	1	0	1	0	0
62	AT1G04660	AT1G04660_at	NA	NA	-1.2	-0.18	-0.91	-1	-0.78	-1	-0.16	0.03	2.06085692135057e-06	0.487093689089501	0.00033031311234122	1.98301600835742e-05	0.000540054637620551	1.1793074434964e-05	0.998342219233687	0.909554227358975	-1	0	-1	-1	0	-1	0	0
63	AT1G04680	AT1G04680_at	NA	NA	-2	-0.57	-1	-1.5	-0.86	-2.1	-0.18	-0.79	1.41055952520817e-05	0.0344877656107341	0.020508886467492	0.00035781443302426	0.0299781920785371	8.00705006577705e-06	0.998342219233687	0.0208545627902837	-1	0	0	-1	0	-1	0	0
64	AT1G04700	AT1G04700_at	NA	NA	1.2	1.2	0.2	0.12	0.099	1.2	0.13	0.28	8.31712688756329e-07	0.00457941950731571	0.347419567631948	0.522002087543846	0.644175915847277	8.43206132836879e-07	0.998342219233687	0.19771066688934	1	1	0	0	0	1	0	0
65	AT1G04730	AT1G04730_at	CTF18	Necessary for sister chromatid cohesion. Acts in synergy with ETG1.	0.97	0.29	0.68	0.76	0.58	0.88	-0.089	-0.058	0.000170093657195303	0.150142895387897	0.0156043550866793	0.00231901139860889	0.022522781029637	0.000503598936603752	0.998342219233687	0.811972699402211	1	0	0	0	0	1	0	0
66	AT1G04870	AT1G04870_at	ATPRMT10 PRMT10	Encodes a type I protein arginine methyltransferase based on the At1g04870.2 gene model. PRMT10 can catalyze the asymmetric dimethylation of arginine 3 on histone 4 and can also methylate myelin basic protein in vitro.  Mutants lacking PRMT10 flower late due to defects in the autonomous pathway and they have elevated levels of FLC transcripts.	1.2	0.58	0.91	1.2	0.78	1	0.093	0.68	6.27588808398387e-07	0.0270726800551969	0.000150340729900325	1.10141994545973e-06	0.000240848877535416	3.46102704797477e-06	0.998342219233687	0.00469233181607562	1	0	1	1	0	1	0	0
67	AT1G04945	AT1G04945_at	NA	NA	1.1	0.24	0.81	1	0.75	1	0.13	0.56	2.73998235958955e-06	0.102931964276025	0.000704473535545901	1.5821750560251e-05	0.000602215158056923	9.72576248191431e-06	0.998342219233687	0.00504916847368373	1	0	1	1	0	1	0	0
68	AT1G04980	AT1G04980_at	ATPDI10 ATPDIL2-2 PDI10 PDIL2-2	Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.	-0.75	-0.55	-0.53	-0.92	-0.62	-0.97	0.06	-0.19	0.000487823259228205	0.0230658012754258	0.0278190043387493	0.000139991137886619	0.00586232219400501	5.23115557824786e-05	0.998342219233687	0.227228707047245	0	0	0	-1	0	-1	0	0
69	AT1G04990	AT1G04990_at	NA	NA	-0.91	-0.51	-0.83	-0.76	-0.69	-0.93	-0.23	-0.6	0.000347196639928693	0.0433376814188748	0.00497566912131184	0.00260121959726428	0.00856635337732549	0.000340316396460411	0.998342219233687	0.0214439257444429	-1	0	0	0	0	-1	0	0
70	AT1G05000	AT1G05000_at	AtPFA-DSP1 PFA-DSP1	NA	-1.2	-0.86	-1.3	-0.7	-0.93	-1.2	-0.03	-0.15	0.000109393317930015	0.0288571912543939	0.000596342124806051	0.0122897696274614	0.00317110234210293	0.000161299707900348	0.998342219233687	0.644498423137553	-1	0	-1	0	0	-1	0	0
71	AT1G05010	AT1G05010_at	ACO4 EAT1 EFE	Encodes 1-aminocyclopropane-1-carboxylate oxidase	-1.8	-0.43	-0.73	-0.88	-0.7	-2.1	0.39	0.34	1.28202370909612e-07	0.0371591579010011	0.00553955486776997	0.000300020734471423	0.00386627798232304	3.24211613740336e-08	0.998342219233687	0.188525766161985	-1	0	0	-1	0	-1	0	0
72	AT1G05060	AT1G05060_at	NA	NA	0.76	0.69	0.31	0.57	0.39	1.1	0.039	0.23	0.000249650271860327	0.0544111354822507	0.175356364652382	0.00414117944961842	0.0560804020713391	7.80156408259867e-06	0.998342219233687	0.195540581169518	0	0	0	0	0	1	0	0
73	AT1G05170	AT1G05170_at	NA	NA	-0.84	-0.26	-0.41	-0.5	-0.35	-0.85	0.25	0.037	0.000147655464414641	0.152052486126101	0.0797779074323065	0.0136264931711424	0.102325089453203	0.000141101967505975	0.998342219233687	0.914722138730416	-1	0	0	0	0	-1	0	0
74	AT1G05260	AT1G05260_at	RCI3 RCI3A	Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings.	-2.7	-1.1	-1.5	-1.4	-1.1	-2.3	-0.11	-1.4	5.55578935267101e-07	0.0272500359455706	0.00183806652502753	0.000532502558755614	0.00834927136155661	3.04257668126643e-06	0.998342219233687	0.0141559518899921	-1	0	-1	-1	0	-1	0	-1
75	AT1G05300	AT1G05300_at	ZIP5	member of Fe(II) transporter isolog family	-0.11	-0.71	0.017	0.037	0.69	-0.017	-0.22	0.23	0.620639032164463	0.0188985162781524	0.96649286012939	0.901718416207441	0.005552671752161	0.949704574807637	0.998342219233687	0.527784497867701	0	-1	0	0	0	0	0	0
