gen.id	name	id
AT1G01650	membrane protein proteolysis	GO:0033619
AT1G01650	cellular catabolic process	GO:0044248
AT1G01650	defense response to fungus	GO:0050832
AT1G01650	inorganic ion homeostasis	GO:0098771
AT1G01650	organonitrogen compound catabolic process	GO:1901565
AT1G01670	protein ubiquitination	GO:0016567
AT1G01690	embryo sac development	GO:0009553
AT1G01690	pollen development	GO:0009555
AT1G01690	microsporogenesis	GO:0009556
AT1G01690	meiotic DNA double-strand break formation	GO:0042138
AT1G01690	plant-type sporogenesis	GO:0048236
AT1G01690	chiasma assembly	GO:0051026
AT1G01690	chromosome organization involved in meiotic cell cycle	GO:0070192
AT1G01710	acyl-CoA metabolic process	GO:0006637
AT1G01710	fatty acid catabolic process	GO:0009062
AT1G01710	protein homotetramerization	GO:0051289
AT1G01720	regulation of DNA-templated transcription	GO:0006355
AT1G01720	response to wounding	GO:0009611
AT1G01720	negative regulation of abscisic acid-activated signaling pathway	GO:0009788
AT1G01720	cellular response to hypoxia	GO:0071456
AT1G01725	biological_process	GO:0008150
AT1G01730	biological_process	GO:0008150
AT1G01740	protein phosphorylation	GO:0006468
AT1G01740	brassinosteroid mediated signaling pathway	GO:0009742
AT1G01750	actin filament depolymerization	GO:0030042
AT1G01760	adenosine to inosine editing	GO:0006382
AT1G01760	RNA processing	GO:0006396
AT1G01760	tRNA modification	GO:0006400
AT1G01770	response to light intensity	GO:0009642
AT1G01770	negative regulation of metabolic process	GO:0009892
AT1G01770	monocarboxylic acid metabolic process	GO:0032787
AT1G01780	actin filament bundle assembly	GO:0051017
AT1G01790	chloroplast organization	GO:0009658
AT1G01790	regulation of photosynthesis	GO:0010109
AT1G01800	carboxylic acid biosynthetic process	GO:0046394
AT1G01800	protein-containing complex assembly	GO:0065003
AT1G01800	alpha-amino acid metabolic process	GO:1901605
AT1G01810	biological_process	GO:0008150
AT1G01820	peroxisome organization	GO:0007031
AT1G01820	peroxisome fission	GO:0016559
AT1G01820	regulation of peroxisome size	GO:0044375
AT1G01830	biological_process	GO:0008150
AT1G01840	biological_process	GO:0008150
AT1G01860	response to cold	GO:0009409
AT1G01860	rRNA methylation	GO:0031167
AT1G01860	mRNA methylation	GO:0080009
AT1G01880	DNA metabolic process	GO:0006259
AT1G01880	pollen development	GO:0009555
AT1G01880	UV protection	GO:0009650
AT1G01880	nucleic acid phosphodiester bond hydrolysis	GO:0090305
AT1G01900	proteolysis	GO:0006508
AT1G01910	post-translational protein targeting to endoplasmic reticulum membrane	GO:0006620
AT1G01910	root hair elongation	GO:0048767
AT1G01920	peptidyl-lysine monomethylation	GO:0018026
AT1G01930	ubiquitin-dependent ERAD pathway	GO:0030433
AT1G01940	mRNA splicing, via spliceosome	GO:0000398
AT1G01940	protein peptidyl-prolyl isomerization	GO:0000413
AT1G01940	protein folding	GO:0006457
AT1G01940	cellular response to heat	GO:0034605
AT1G01950	microtubule-based movement	GO:0007018
AT1G01950	cytoskeleton-dependent intracellular transport	GO:0030705
AT1G01950	root development	GO:0048364
AT1G01960	megagametogenesis	GO:0009561
AT1G01960	vesicle-mediated transport	GO:0016192
AT1G01960	regulation of ARF protein signal transduction	GO:0032012
AT1G01970	biological_process	GO:0008150
AT1G01990	biological_process	GO:0008150
AT1G02000	cellular response to organic substance	GO:0071310
AT1G02010	intracellular protein transport	GO:0006886
AT1G02010	vesicle docking involved in exocytosis	GO:0006904
AT1G02010	vesicle-mediated transport	GO:0016192
AT1G02020	biological_process	GO:0008150
AT1G02030	regulation of DNA-templated transcription	GO:0006355
AT1G02050	flavonoid biosynthetic process	GO:0009813
AT1G02050	pollen exine formation	GO:0010584
AT1G02050	polyketide biosynthetic process	GO:0030639
AT1G02050	sporopollenin biosynthetic process	GO:0080110
AT1G02060	embryo development	GO:0009790
AT1G02060	flower development	GO:0009908
AT1G02060	negative regulation of cellular biosynthetic process	GO:0031327
AT1G02060	seed development	GO:0048316
AT1G02060	negative regulation of post-embryonic development	GO:0048581
AT1G02060	regulation of reproductive process	GO:2000241
AT1G02065	megasporogenesis	GO:0009554
AT1G02065	microsporogenesis	GO:0009556
AT1G02065	anther development	GO:0048653
AT1G02070	biological_process	GO:0008150
AT1G02080	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288
AT1G02080	negative regulation of translation	GO:0017148
AT1G02090	protein deneddylation	GO:0000338
AT1G02090	photomorphogenesis	GO:0009640
AT1G02090	COP9 signalosome assembly	GO:0010387
AT1G02100	methylation	GO:0032259
AT1G02100	negative regulation of brassinosteroid mediated signaling pathway	GO:1900458
AT1G02110	regulation of signal transduction	GO:0009966
AT1G02120	response to ethylene	GO:0009723
AT1G02120	response to salicylic acid	GO:0009751
AT1G02120	defense response to bacterium	GO:0042742
AT1G02120	negative regulation of programmed cell death	GO:0043069
AT1G02130	endoplasmic reticulum to Golgi vesicle-mediated transport	GO:0006888
AT1G02130	vesicle-mediated transport	GO:0016192
AT1G02140	RNA splicing	GO:0008380
AT1G02140	embryo development ending in seed dormancy	GO:0009793
AT1G02140	pollen tube guidance	GO:0010183
AT1G02140	positive regulation of gene expression	GO:0010628
AT1G02145	protein N-linked glycosylation	GO:0006487
AT1G02145	ubiquitin-dependent ERAD pathway	GO:0030433
AT1G02150	response to light stimulus	GO:0009416
AT1G02160	biological_process	GO:0008150
AT1G02170	positive regulation of programmed cell death	GO:0043068
AT1G02180	negative regulation of metabolic process	GO:0009892
AT1G02190	sterol biosynthetic process	GO:0016126
AT1G02205	lipid biosynthetic process	GO:0008610
AT1G02205	response to water deprivation	GO:0009414
AT1G02205	wax biosynthetic process	GO:0010025
AT1G02205	sterol biosynthetic process	GO:0016126
AT1G02205	cuticle development	GO:0042335
AT1G02205	defense response to bacterium	GO:0042742
AT1G02205	alkane biosynthetic process	GO:0043447
AT1G02205	aldehyde catabolic process	GO:0046185
AT1G02205	defense response to fungus	GO:0050832
AT1G02220	regulation of DNA-templated transcription	GO:0006355
AT1G02220	response to water deprivation	GO:0009414
AT1G02220	abscisic acid-activated signaling pathway	GO:0009738
AT1G02220	response to salicylic acid	GO:0009751
AT1G02220	secondary metabolic process	GO:0019748
AT1G02220	carboxylic acid metabolic process	GO:0019752
AT1G02220	cellular catabolic process	GO:0044248
AT1G02220	plant organ senescence	GO:0090693
AT1G02220	defense response to other organism	GO:0098542
AT1G02220	inorganic ion homeostasis	GO:0098771
AT1G02230	immune system process	GO:0002376
AT1G02230	regulation of DNA-templated transcription	GO:0006355
AT1G02230	response to salicylic acid	GO:0009751
AT1G02230	response to inorganic substance	GO:0010035
AT1G02230	leaf senescence	GO:0010150
AT1G02230	response to organonitrogen compound	GO:0010243
AT1G02230	glucosinolate metabolic process	GO:0019760
AT1G02230	defense response to bacterium	GO:0042742
AT1G02230	cellular catabolic process	GO:0044248
AT1G02230	defense response to fungus	GO:0050832
AT1G02230	defense response to other organism	GO:0098542
AT1G02230	inorganic ion homeostasis	GO:0098771
AT1G02260	oxoacid metabolic process	GO:0043436
AT1G02260	transmembrane transport	GO:0055085
AT1G02270	biological_process	GO:0008150
AT1G02280	protein targeting to chloroplast	GO:0045036
AT1G02290	biological_process	GO:0008150
AT1G02300	proteolysis	GO:0006508
AT1G02300	regulation of catalytic activity	GO:0050790
AT1G02300	proteolysis involved in protein catabolic process	GO:0051603
AT1G02305	proteolysis	GO:0006508
AT1G02305	regulation of catalytic activity	GO:0050790
AT1G02305	proteolysis involved in protein catabolic process	GO:0051603
AT1G02310	response to oxidative stress	GO:0006979
AT1G02310	response to water deprivation	GO:0009414
AT1G02310	response to light stimulus	GO:0009416
AT1G02310	abscisic acid-activated signaling pathway	GO:0009738
AT1G02310	response to jasmonic acid	GO:0009753
AT1G02310	response to chitin	GO:0010200
AT1G02310	regulation of defense response	GO:0031347
AT1G02310	organic substance metabolic process	GO:0071704
AT1G02310	defense response to other organism	GO:0098542
AT1G02330	mRNA splicing, via spliceosome	GO:0000398
AT1G02330	regulation of photomorphogenesis	GO:0010099
AT1G02330	response to high fluence blue light stimulus by blue high-fluence system	GO:0055121
AT1G02330	primary root development	GO:0080022
AT1G02330	negative regulation of ubiquitin protein ligase activity	GO:1904667
AT1G02335	plasmodesmata-mediated intercellular transport	GO:0010497
AT1G02335	regulation of root development	GO:2000280
AT1G02340	signal transduction	GO:0007165
AT1G02340	red, far-red light phototransduction	GO:0009585
AT1G02340	response to light intensity	GO:0009642
AT1G02340	abscisic acid-activated signaling pathway	GO:0009738
AT1G02340	blue light signaling pathway	GO:0009785
AT1G02340	response to far red light	GO:0010218
AT1G02360	response to oomycetes	GO:0002239
AT1G02360	carbohydrate metabolic process	GO:0005975
AT1G02360	chitin catabolic process	GO:0006032
AT1G02360	cell wall macromolecule catabolic process	GO:0016998
AT1G02360	cellular response to hypoxia	GO:0071456
AT1G02370	seed development	GO:0048316
AT1G02380	tissue development	GO:0009888
AT1G02380	root morphogenesis	GO:0010015
AT1G02380	seed development	GO:0048316
AT1G02380	leaf development	GO:0048366
AT1G02380	regulation of developmental process	GO:0050793
AT1G02390	cutin biosynthetic process	GO:0010143
AT1G02390	CDP-diacylglycerol biosynthetic process	GO:0016024
AT1G02400	response to light stimulus	GO:0009416
AT1G02400	response to red or far red light	GO:0009639
AT1G02400	gibberellin biosynthetic process	GO:0009686
AT1G02400	gibberellin catabolic process	GO:0045487
AT1G02405	biological_process	GO:0008150
AT1G02410	biological_process	GO:0008150
AT1G02410	pollen germination	GO:0009846
AT1G02410	post-embryonic root morphogenesis	GO:0010101
AT1G02410	positive regulation of cytochrome-c oxidase activity	GO:1904960
AT1G02430	intracellular protein transport	GO:0006886
AT1G02430	vesicle-mediated transport	GO:0016192
AT1G02450	regulation of systemic acquired resistance	GO:0010112
AT1G02450	defense response to bacterium	GO:0042742
AT1G02450	negative regulation of DNA-templated transcription	GO:0045892
AT1G02460	carbohydrate metabolic process	GO:0005975
AT1G02460	response to light stimulus	GO:0009416
AT1G02460	response to inorganic substance	GO:0010035
AT1G02460	organic acid biosynthetic process	GO:0016053
AT1G02460	secondary metabolic process	GO:0019748
AT1G02460	monocarboxylic acid metabolic process	GO:0032787
AT1G02470	monocarboxylic acid metabolic process	GO:0032787
AT1G02475	porphyrin-containing compound metabolic process	GO:0006778
AT1G02475	response to light stimulus	GO:0009416
AT1G02475	negative regulation of cellular metabolic process	GO:0031324
AT1G02500	S-adenosylmethionine biosynthetic process	GO:0006556
AT1G02500	ethylene biosynthetic process	GO:0009693
AT1G02510	stabilization of membrane potential	GO:0030322
AT1G02510	potassium ion transmembrane transport	GO:0071805
AT1G02520	transmembrane transport	GO:0055085
AT1G02530	transmembrane transport	GO:0055085
AT1G02560	protein quality control for misfolded or incompletely synthesized proteins	GO:0006515
AT1G02560	porphyrin-containing compound metabolic process	GO:0006778
AT1G02560	embryo development ending in seed dormancy	GO:0009793
AT1G02560	phyllome development	GO:0048827
AT1G02560	protein-containing complex assembly	GO:0065003
AT1G02560	organic substance catabolic process	GO:1901575
AT1G02570	biological_process	GO:0008150
AT1G02575	root morphogenesis	GO:0010015
AT1G02575	developmental growth	GO:0048589
AT1G02575	cell wall organization or biogenesis	GO:0071554
AT1G02575	plant epidermis development	GO:0090558
AT1G02580	chromatin remodeling	GO:0006338
AT1G02580	regulation of gene expression by genomic imprinting	GO:0006349
AT1G02580	response to absence of light	GO:0009646
AT1G02580	heterochromatin formation	GO:0031507
AT1G02580	histone H3 acetylation	GO:0043966
AT1G02580	negative regulation of DNA-templated transcription	GO:0045892
AT1G02580	seed morphogenesis	GO:0048317
AT1G02580	histone H3-K27 trimethylation	GO:0098532
AT1G02580	regulation of endosperm development	GO:2000014
AT1G02610	protein ubiquitination	GO:0016567
AT1G02620	fatty acid metabolic process	GO:0006631
AT1G02620	intracellular protein transport	GO:0006886
AT1G02620	organelle organization	GO:0006996
AT1G02630	plant-type secondary cell wall biogenesis	GO:0009834
AT1G02630	positive regulation of gene expression	GO:0010628
AT1G02630	secondary metabolic process	GO:0019748
AT1G02630	positive regulation of cellular biosynthetic process	GO:0031328
AT1G02630	nucleoside transmembrane transport	GO:1901642
AT1G02640	arabinan catabolic process	GO:0031222
AT1G02640	xylan catabolic process	GO:0045493
AT1G02660	defense response to insect	GO:0002213
AT1G02660	response to abiotic stimulus	GO:0009628
AT1G02660	positive regulation of defense response	GO:0031349
AT1G02680	transcription by RNA polymerase II	GO:0006366
AT1G02680	embryo development ending in seed dormancy	GO:0009793
AT1G02680	endosperm development	GO:0009960
AT1G02680	seed development	GO:0048316
AT1G02690	protein import into nucleus	GO:0006606
AT1G02690	NLS-bearing protein import into nucleus	GO:0006607
AT1G02720	pectin biosynthetic process	GO:0045489
AT1G02720	mucilage biosynthetic process involved in seed coat development	GO:0048354
AT1G02720	mucilage pectin metabolic process	GO:0048363
AT1G02720	plant-type cell wall assembly	GO:0071668
AT1G02730	cell plate assembly	GO:0000919
AT1G02730	response to osmotic stress	GO:0006970
AT1G02730	response to water deprivation	GO:0009414
AT1G02730	response to salt stress	GO:0009651
AT1G02730	plant-type primary cell wall biogenesis	GO:0009833
AT1G02730	cellulose biosynthetic process	GO:0030244
AT1G02730	cell wall biogenesis	GO:0042546
AT1G02730	shoot system development	GO:0048367
AT1G02740	regulation of DNA-templated transcription	GO:0006355
AT1G02740	histone acetylation	GO:0016573
AT1G02740	histone H4 acetylation	GO:0043967
AT1G02740	regulation of timing of transition from vegetative to reproductive phase	GO:0048510
AT1G02740	regulation of long-day photoperiodism, flowering	GO:0048586
AT1G02740	regulation of photoperiodism, flowering	GO:2000028
AT1G02750	signal transduction	GO:0007165
AT1G02750	response to inorganic substance	GO:0010035
AT1G02750	cellular response to hormone stimulus	GO:0032870
AT1G02750	response to lipid	GO:0033993
AT1G02750	negative regulation of cellular process	GO:0048523
AT1G02750	response to alcohol	GO:0097305
AT1G02750	cellular response to oxygen-containing compound	GO:1901701
AT1G02770	biological_process	GO:0008150
AT1G02780	translation	GO:0006412
AT1G02780	embryo development ending in seed dormancy	GO:0009793
AT1G02790	carbohydrate metabolic process	GO:0005975
AT1G02800	pattern specification process	GO:0007389
AT1G02800	response to nematode	GO:0009624
AT1G02810	hormone-mediated signaling pathway	GO:0009755
AT1G02810	response to chitin	GO:0010200
AT1G02810	cell wall modification	GO:0042545
AT1G02810	pectin catabolic process	GO:0045490
AT1G02810	defense response to other organism	GO:0098542
AT1G02813	response to abscisic acid	GO:0009737
AT1G02816	fatty acid metabolic process	GO:0006631
AT1G02816	response to inorganic substance	GO:0010035
AT1G02816	seed development	GO:0048316
AT1G02816	root development	GO:0048364
AT1G02820	response to stress	GO:0006950
AT1G02820	response to water deprivation	GO:0009414
AT1G02820	response to salt stress	GO:0009651
AT1G02840	mRNA splicing, via spliceosome	GO:0000398
AT1G02850	carbohydrate metabolic process	GO:0005975
AT1G02850	response to inorganic substance	GO:0010035
AT1G02850	secondary metabolic process	GO:0019748
AT1G02850	seed development	GO:0048316
AT1G02860	plant-type hypersensitive response	GO:0009626
AT1G02860	systemic acquired resistance	GO:0009627
AT1G02860	salicylic acid biosynthetic process	GO:0009697
AT1G02860	response to salicylic acid	GO:0009751
AT1G02860	response to nitrate	GO:0010167
AT1G02860	regulation of salicylic acid metabolic process	GO:0010337
AT1G02860	protein ubiquitination	GO:0016567
AT1G02860	defense response to bacterium	GO:0042742
AT1G02860	response to benzoic acid	GO:0080021
AT1G02870	ribosomal large subunit biogenesis	GO:0042273
AT1G02880	thiamine metabolic process	GO:0006772
AT1G02880	thiamine diphosphate biosynthetic process	GO:0009229
AT1G02890	defense response	GO:0006952
AT1G02890	signal transduction	GO:0007165
AT1G02890	shoot system development	GO:0048367
AT1G02890	cellular response to organic substance	GO:0071310
AT1G02900	cell-cell signaling	GO:0007267
AT1G02900	calcium-mediated signaling	GO:0019722
AT1G02900	negative regulation of cell growth	GO:0030308
AT1G02900	root development	GO:0048364
AT1G02910	photosystem II oxygen evolving complex assembly	GO:0010270
AT1G02920	toxin catabolic process	GO:0009407
AT1G02920	response to cadmium ion	GO:0046686
AT1G02920	defense response to fungus	GO:0050832
AT1G02930	response to oxidative stress	GO:0006979
AT1G02930	toxin catabolic process	GO:0009407
AT1G02930	response to water deprivation	GO:0009414
AT1G02930	response to cadmium ion	GO:0046686
AT1G02950	toxin catabolic process	GO:0009407
AT1G02960	biological_process	GO:0008150
AT1G02970	DNA replication checkpoint signaling	GO:0000076
AT1G02970	negative regulation of cell cycle G2/M phase transition	GO:1902750
AT1G02980	ubiquitin-dependent protein catabolic process	GO:0006511
AT1G02980	protein ubiquitination	GO:0016567
AT1G02990	regulation of developmental process	GO:0050793
AT1G02990	regulation of multicellular organismal process	GO:0051239
AT1G02990	plant epidermis development	GO:0090558
