"gene_id","log2FoldChange_MeristemElong","log2FoldChange_MeristemDif","padj_MeristemElong","padj_MeristemDif","log2FoldChange_mean","padj_mean","def","AGI","ProbeID","Gene Symbol","Description","PLT1_FC","PLT2_FC","PLT3_FC","PLT4_FC","PLT5_FC","PLT7_FC","QC_1h_FC","QC_4h_FC","PLT1_p","PLT2_p","PLT3_p","PLT4_p","PLT5_p","PLT7_p","QC_1h_p","QC_4h_p","PLT1","PLT2","PLT3","PLT4","PLT5","PLT7","QC_1h_plt","QC_4h_plt"
"AT3G63120",-1.42659218248165,-1.35385007263324,0.0422615569523775,0.0385912459097278,-1.39022112755744,0.0404264014310527,"cyclin p1;1","AT3G63120","AT3G63120_at","CYCP1;1",NA,-1.2,-0.34,-0.86,-0.83,-0.54,-1.4,-0.057,-0.35,4.65028387261935e-08,0.155156280096654,3.59333784392641e-05,6.03723879908265e-06,0.00072506604790822,2.09229158585436e-08,0.998342219233687,0.0791579031693841,-1,0,-1,-1,0,-1,0,0
"AT2G46590",-1.4430652287735,-1.35539781223496,0.00630348573428209,0.00720815196933037,-1.39923152050423,0.00675581885180623,"Dof-type zinc finger DNA-binding family protein","AT2G46590","AT2G46590_at","DAG2","encodes a protein containing Dof zinc finger motifs. expression is limited to vascular system of the mother plant. recessive mutation is inherited as maternal-effect and expression is not detected in the embryo. mutants are defective in seed germination. mutants are more dependent on light and cold treatment and less sensitive to gibberellin during seed germination.",-1.9,-1,-1.1,-1.1,-1,-1.7,-0.11,-0.74,1.98658239664678e-09,0.0297933408396895,2.46626868635159e-05,2.70613963695012e-06,1.41810699707047e-05,1.2959397328307e-08,0.998342219233687,0.00379074007647223,-1,0,-1,-1,-1,-1,0,0
"AT1G76490",-1.49557925385918,-1.30331231301563,0.00652313632967316,0.0201240613565739,-1.3994457834374,0.0133235988431235,"hydroxy methylglutaryl CoA reductase 1","AT1G76490","AT1G76490_at","AtHMGR1 HMG1 HMGR1 MAD3","Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase, which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine",-1,-0.59,-0.81,-0.84,-0.69,-1,-0.15,-0.58,1.54203583928809e-06,0.0425036089385511,0.000251790363781457,2.55916270693056e-05,0.000417409471484895,2.32406620354418e-06,0.998342219233687,0.0575242087366634,-1,0,0,-1,0,-1,0,0
"AT4G30160",-1.29362997767434,-1.51629650898951,0.0312699833889605,0.00109293703175188,-1.40496324333193,0.0161814602103562,"villin 4","AT4G30160","AT4G30160_at","ATVLN4 VLN4","Arabidopsis thaliana VILLIN4",1.1,-0.082,-0.39,-0.45,-0.33,1.2,-0.081,-0.37,0.00291852401669307,0.582389392331882,0.430599997931745,0.245168573204819,0.457796803293581,0.00140586217493323,0.998342219233687,0.0226357586070578,0,0,0,0,0,1,0,0
"AT2G28080",-1.28784705415116,-1.5225696321652,0.0219906301266504,0.000460737845110226,-1.40520834315818,0.0112256839858803,"UDP-Glycosyltransferase superfamily protein","AT2G28080","AT2G28080_at",NA,NA,-0.56,-0.35,0.27,0.22,0.084,-0.84,0.073,-0.43,4.38680627672405e-05,0.206661073755656,0.0504143981725271,0.0546502834506537,0.557485849260661,7.45785186433326e-07,0.998342219233687,0.0271730101557209,0,0,0,0,0,-1,0,0
"AT4G20300",-1.22718706696289,-1.5955239961746,0.0299898665016675,7.00222953545633e-05,-1.41135553156874,0.015029944398511,"Protein of unknown function (DUF1639)","AT4G20300","AT4G20300_at",NA,NA,-0.9,-0.2,-0.42,-0.5,-0.29,-0.96,-0.34,-0.61,9.92303262541332e-08,0.346954801748113,0.00206760008976201,9.58114810307855e-05,0.012653137671778,6.93329201029716e-08,0.231939805341551,0.00182957338759087,-1,0,0,0,0,-1,0,0
"AT4G00440",-1.48651162154343,-1.43607786031607,0.0040204166517974,0.00284358239007608,-1.46129474092975,0.00343199952093674,"Protein of unknown function (DUF3741)","AT4G00440","AT4G00440_at","TRM15",NA,-1.2,-0.53,-0.85,-0.77,-0.61,-1.1,-0.18,-0.44,2.24155694228398e-07,0.0541965272070968,0.000143015675775177,5.48174138458518e-05,0.000942897198301297,7.5448691347483e-07,0.998342219233687,0.0527401873200605,-1,0,-1,0,0,-1,0,0
"AT5G04930",-1.49002784957242,-1.45499713970271,0.000294416659644802,0.000160260984094824,-1.47251249463756,0.000227338821869813,"aminophospholipid ATPase 1","AT5G04930","AT5G04930_at","ALA1","Encodes a putative aminophospholipid translocase (p-type ATPase) involved in chilling response.",-0.83,-0.44,-0.78,-0.67,-0.56,-0.8,-0.15,-0.29,3.74103948118367e-06,0.0567847952300999,0.000121799035593182,6.48749328464138e-05,0.000722107538070651,7.13939038099568e-06,0.998342219233687,0.0989360450812756,-1,0,0,0,0,0,0,0
"AT3G12110",-1.70970310444294,-1.23663890832688,3.30550783734951e-05,0.0126652381902448,-1.47317100638491,0.00634914663430916,"actin-11","AT3G12110","AT3G12110_at","ACT11","Encodes an actin that is expressed predominantly during reproductive development.",-1.2,-0.88,-0.52,-1.6,-0.72,-1.5,-0.16,-0.24,0.000156318456808703,0.0277876105704484,0.125414718425862,1.92589314703766e-05,0.0192004486058162,1.82048790244299e-05,0.998342219233687,0.126573055749419,-1,0,0,-1,0,-1,0,0
"AT4G36640",-1.321226585934,-1.64783681596435,0.00298142017404613,1.60319527494066e-06,-1.48453170094918,0.00149151168466054,"Sec14p-like phosphatidylinositol transfer family protein","AT4G36640","AT4G36640_at",NA,NA,-1.3,-0.95,-0.55,-0.89,-0.37,-1.1,-0.28,-0.69,9.19680163194645e-07,0.0158431333406125,0.015368245829061,9.41405130484611e-05,0.0645399841452297,9.29205161731853e-06,0.998342219233687,0.0232662330671117,-1,-1,0,-1,0,-1,0,0
"AT3G11320",-1.31848995842506,-1.6522559976506,0.0481174699141621,0.000732417567378849,-1.48537297803783,0.0244249437407705,"Nucleotide-sugar transporter family protein","AT3G11320","AT3G11320_at",NA,NA,-0.85,-0.36,-0.62,-0.68,-0.49,-0.7,0.05,-0.44,1.12421352343788e-05,0.160837070566657,0.00190166748696864,0.000195228671612591,0.00539339737979201,9.17956735042634e-05,0.998342219233687,0.0513576188810343,-1,0,0,0,0,0,0,0
"AT4G27430",-1.70920593519166,-1.26778784685679,0.00129822133992949,0.0419760291478901,-1.48849689102423,0.0216371252439098,"COP1-interacting protein 7","AT4G27430","AT4G27430_at","CIP7","Positive regulator of light-regulated genes. Novel nuclear protein which requires light for its high level expression.",-1.2,-0.56,-0.57,-0.88,-0.54,-0.7,-0.29,-0.8,1.44245779780377e-08,0.0263716283437548,0.000332190146346797,7.60640300961736e-07,0.00020905673071568,3.69530963985991e-06,0.998342219233687,0.0096953329452342,-1,0,0,-1,0,0,0,0
"AT5G05170",-1.64866745681552,-1.34796786794869,0.00358410051955147,0.0257268503631009,-1.4983176623821,0.0146554754413262,"Cellulose synthase family protein","AT5G05170","AT5G05170_at","ATCESA3 ATH-B CESA3 CEV1 ELI1 IXR1 MRE1","Encodes a cellulose synthase isomer. CESA3 mutants have cellulose defect in the primary cell wall. Multiple lines of evidence suggest that CESA3, along with CESA1 and CESA6 are present in the same plasma membrane complex for cellulose biosynthesis.  As inferred from the null role of secondary wall-type CesAs, included in a set of five primary wall-type CesAs that may support trichome cell wall thickening.",-1.4,-0.59,-0.68,-0.92,-0.33,-0.98,-0.021,-0.64,3.33161346467754e-08,0.024380571715235,0.000533886469772233,4.85700850978272e-06,0.0298470661913479,1.35253715819982e-06,0.998342219233687,0.0211972807596707,-1,0,0,-1,0,-1,0,0
"AT3G19260",-1.43286765380312,-1.56415906801764,0.00216007258507081,8.62279875111209e-05,-1.49851336091038,0.00112315028629097,"LAG1 homologue 2","AT3G19260","AT3G19260_at","LAG1 LOH2","LAG1 homolog . Loss of function mutant is sensitive to AAL-toxin. LOH2 is presumed to function in sphingolipid metabolism.",-0.82,-0.36,-0.51,-0.65,-0.43,-0.62,-0.09,-0.33,1.66974254645922e-06,0.0860524965897709,0.00179345253772029,3.78720301399214e-05,0.00267584930420107,3.78785750690035e-05,0.998342219233687,0.0594242507680332,-1,0,0,0,0,0,0,0
"AT5G01710",-1.46572134179406,-1.53179322200214,0.0084205774253582,0.00155165808899983,-1.4987572818981,0.00498611775717902,"methyltransferases","AT5G01710","AT5G01710_at",NA,NA,-0.9,-0.51,-0.69,-0.8,-0.62,-0.85,-0.2,-0.42,2.11689253418836e-07,0.0450901728007619,6.62262364585006e-05,2.01468986832184e-06,7.00400319718058e-05,5.52519765371518e-07,0.998342219233687,0.0692592403947836,-1,0,0,0,0,-1,0,0
"AT5G01712",-1.46572134179406,-1.53179322200214,0.0084205774253582,0.00155165808899983,-1.4987572818981,0.00498611775717902,"conserved peptide upstream open reading frame 48","AT5G01712","AT5G01712_at","CPuORF48","Upstream open reading frames (uORFs) are small open reading frames found in the 5' UTR of a mature mRNA, and can potentially mediate translational regulation of the largest, or major, ORF (mORF). CPuORF48 represents a conserved upstream opening reading frame relative to major ORF AT5G01710.1",-0.9,NA,-0.69,-0.8,-0.62,-0.85,-0.2,-0.42,2.11689253418836e-07,NA,6.62262364585006e-05,2.01468986832184e-06,7.00400319718058e-05,5.52519765371518e-07,0.998342219233687,0.0692592403947836,-1,NA,0,0,0,-1,0,0
"AT2G41110",-1.4565225244877,-1.54668009845461,0.0051684586593277,0.0005820495470478,-1.50160131147116,0.00287525410318775,"calmodulin 2","AT2G41110","AT2G41110_at","ATCAL5 CAM2","Encodes a touch-inducible calmodulin that has higher affinity to kinesin-like calmodulin binding motor protein than CAM4 or CAM6.",-0.93,-0.14,-0.54,-0.71,-0.34,-0.77,-0.14,-0.28,8.7499845833115e-05,0.392071210949053,0.0284328934122713,0.00168468392828428,0.130408509686633,0.000562666326077738,0.998342219233687,0.0907454296883077,-1,0,0,0,0,0,0,0
"AT4G18950",-1.34482576413085,-1.66587058034465,0.0108860968364248,3.75833161664792e-05,-1.50534817223775,0.00546184007629564,"Integrin-linked protein kinase family","AT4G18950","AT4G18950_at",NA,NA,-0.98,-0.45,-0.69,-0.4,-0.43,-1.1,-0.16,-0.13,0.000127319561813164,0.0374826780837778,0.0136868265811803,0.0833816433699885,0.0778425084156691,5.24878717141461e-05,0.998342219233687,0.438446152938185,-1,0,0,0,0,-1,0,0
"AT3G20660",-1.83227877213591,-1.20494806632876,1.5733181097208e-05,0.0308704518560766,-1.51861341923234,0.0154430925185869,"organic cation/carnitine transporter4","AT3G20660","AT3G20660_at","AtOCT4 OCT4",NA,-0.73,-0.46,-0.84,-0.51,-0.88,-0.52,-0.21,-0.28,5.14628676323965e-05,0.0364308721425996,0.00017084141635071,0.00209199871140804,5.25433109377256e-05,0.00139702574086629,0.998342219233687,0.404020523147806,0,0,-1,0,-1,0,0,0
"AT2G21620",-1.39223136140502,-1.67558896207908,0.0314659375236033,0.00077892863273734,-1.53391016174205,0.0161224330781703,"Adenine nucleotide alpha hydrolases-like superfamily protein","AT2G21620","AT2G21620_at","RD2","Encodes gene that is induced in response to dessication; mRNA expression is seen 10 and 24 hrs after start of dessication treatment.",1.7,0.49,-0.17,0.62,-0.033,1.2,-0.18,0.047,4.98089428987016e-09,0.0505528526987966,0.356389245781708,0.000247861176574431,0.88102404867685,1.94218190166929e-07,0.998342219233687,0.876138285154172,1,0,0,0,0,1,0,0
"AT2G42490",-1.47332770120377,-1.61266140686646,0.0392012361189409,0.00619483962174184,-1.54299455403512,0.0226980378703414,"Copper amine oxidase family protein","AT2G42490","AT2G42490_at",NA,NA,-1,-0.61,-0.99,-0.96,-0.77,-1.3,-0.093,-0.14,5.7228182124836e-07,0.013813988105868,2.27708925119648e-05,3.35684321174389e-06,8.79990407734534e-05,7.78657849973259e-08,0.998342219233687,0.28702710052768,-1,0,-1,-1,0,-1,0,0
"AT1G45130",-1.76727892240947,-1.32820595224036,5.83243420767184e-05,0.00819649776887496,-1.54774243732491,0.00412741105547584,"beta-galactosidase 5","AT1G45130","AT1G45130_at","AtBGAL5 BGAL5",NA,-1.2,-0.84,-0.42,-0.66,-0.35,-0.55,0.068,-0.38,3.32882197854684e-07,0.00548120578859004,0.022138613206127,0.000229005740635346,0.0345951607788388,0.000743332648212112,0.998342219233687,0.0517743794126528,-1,-1,0,0,0,0,0,0
"AT1G17360",-2.02552621146466,-1.07399191520503,9.34586445559004e-11,0.0311700238618527,-1.54975906333484,0.0155850119776557,"PTHR31008:SF3 - COP1-INTERACTING PROTEIN-RELATED PROTEIN-RELATED (1 of 3)","AT1G17360","AT1G17360_at",NA,NA,-0.5,-0.46,-0.85,-0.72,-0.77,-1,-0.14,-0.55,0.00150394138922055,0.0261940983728964,0.000154382152351836,0.000118115744158332,0.000164535863347065,2.34951843075501e-06,0.998342219233687,0.0840918975155265,0,0,-1,0,0,-1,0,0
"AT3G57790",-1.33381773848089,-1.79098383475221,0.00898031329159113,1.64363435831776e-06,-1.56240078661655,0.00449097846297472,"Pectin lyase-like superfamily protein","AT3G57790","AT3G57790_at",NA,NA,-1.8,-0.58,-0.56,-0.82,-0.24,-1.1,-0.097,-0.46,6.35480766260987e-10,0.036121301511013,0.000999344976489747,5.0975294363656e-06,0.083382326877736,2.00342835537518e-07,0.998342219233687,0.0520074192374709,-1,0,0,-1,0,-1,0,0
"AT2G41740",-1.8764640378106,-1.31811094424929,7.01446216276976e-05,0.0196026729697109,-1.59728749102995,0.0098364087956693,"villin 2","AT2G41740","AT2G41740_at","ATVLN2 VLN2","Encodes a protein with high homology to animal villin.",-1.3,-0.67,-0.88,-0.98,-0.39,-1.4,-0.0075,-0.47,2.77521255735256e-08,0.015494556966984,4.90235953266065e-05,2.05304955539783e-06,0.0116178965984686,3.74238177608822e-08,0.998342219233687,0.0195068971891262,-1,-1,-1,-1,0,-1,0,0
"AT2G21970",-1.50093760883821,-1.71218310469318,0.0394495968576183,0.003444470873382,-1.6065603567657,0.0214470338655002,"stress enhanced protein 2","AT2G21970","AT2G21970_at","42615","stress enhanced protein 2 (SEP2) chlorophyll a/b-binding protein",-0.26,-0.12,-0.3,-0.5,-0.34,-0.82,0.16,-0.78,0.167968833192674,0.536667054223788,0.223634841571417,0.015110780820204,0.117457529070276,0.000241328974921557,0.998342219233687,0.0418535632420324,0,0,0,0,0,-1,0,0
"AT5G13820",-1.96746981892887,-1.24827930007491,1.11292928310551e-05,0.0336792716299088,-1.60787455950189,0.0168452004613699,"telomeric DNA binding protein 1","AT5G13820","AT5G13820_at","ATBP-1 ATBP1 ATTBP1 HPPBF-1 TBP1","Encodes a protein that specifically binds plant telomeric DNA  repeats. It has a single Myb telomeric DNA-binding domain in C-terminus that prefers the sequence TTTAGGG.",-0.82,-0.91,-0.55,-0.54,-0.51,-0.7,-0.48,-0.92,7.09075860840106e-07,0.0231204651989415,0.00055080102649919,0.00011974639848035,0.000457545690257105,5.13479501327508e-06,0.693763164005623,0.00584939811279955,-1,0,0,0,0,0,0,-1
"AT4G32410",-1.78271430906035,-1.44962413231011,0.000652586992693006,0.00874291969462847,-1.61616922068523,0.00469775334366074,"cellulose synthase 1","AT4G32410","AT4G32410_at","AtCESA1 CESA1 RSW1","Encodes a cellulose synthase isomer. CESA1 mutants have cellulose defect in the primary cell wall. Multiple lines of evidence suggest that CESA1, along with CESA3 and CESA6 are present in the same plasma membrane complex for cellulose biosynthesis. lasma membrane complex for cellulose biosynthesis. As inferred from the null role of secondary wall-type CesAs, included in a set of five primary wall-type CesAs that may support trichome cell wall thickening.",-1.3,-0.5,-0.54,-0.89,-0.39,-0.39,-0.11,-0.52,1.77362990764519e-08,0.0351330625088455,0.00122219446537066,1.94973813760941e-06,0.00558429513861828,0.00236264979468676,0.998342219233687,0.0161873076318285,-1,0,0,-1,0,0,0,0
"AT4G28600",-1.41334198700286,-1.82531610541153,1.32915045287135e-05,1.54636021153728e-12,-1.61932904620719,6.64575303753683e-06,"no pollen germination related 2","AT4G28600","AT4G28600_at","NPGR2","encodes a calmodulin-binding protein that is expressed in pollen, suspension culture cells, flowers, and fruits.",0.047,-0.099,0.046,-0.18,-0.13,1.1,-0.16,-0.31,0.742996183987105,0.529397248771509,0.836900928507105,0.209156611080956,0.437571097932592,2.22310360075329e-07,0.998342219233687,0.20711338229175,0,0,0,0,0,1,0,0
"AT5G45940",-1.96420881243931,-1.31593969037908,6.08378787898123e-05,0.0306581320707515,-1.64007425140919,0.0153594849747707,"nudix hydrolase homolog 11","AT5G45940","AT5G45940_at","AtNUDT11 AtNUDX11 NUDT11 NUDX11","Encodes a CoA pyrophosphatase, also has minor activity of NADH pyrophosphatase. Most strongly expressed in embryo cotyledon and hypocotyl, flower, and phloem of vascular tissue. Over-expression mutant had a bigger plant with wider rosette.",-1.9,-0.47,-0.38,-0.72,-0.29,-1.2,-0.023,-0.59,5.93195908396602e-09,0.0357111580965698,0.0561671476625923,0.000233837891767438,0.10865478991753,9.44618120372241e-07,0.998342219233687,0.033425330576331,-1,0,0,0,0,-1,0,0
"AT5G64740",-1.9723819347086,-1.31691320071812,2.55796205748017e-08,0.00249481618325409,-1.64464756771336,0.00124742088143733,"cellulose synthase 6","AT5G64740","AT5G64740_at","CESA6 E112 IXR2 PRC1","Encodes a cellulose synthase isomer. CESA6 mutants have cellulose defect in the primary cell wall. Multiple lines of evidence suggest that CESA6, along with CESA1 and CESA3 are present in the same plasma membrane complex for cellulose biosynthesis. CESA2 and CESA5 are related to CESA6, having partially redundant roles.  As inferred from the null role of secondary wall-type CesAs, included in a set of five primary wall-type CesAs that may support trichome cell wall thickening.",-2.2,-0.7,-0.98,-1.2,-0.75,-1.7,-0.12,-0.47,2.65244039512039e-08,0.0150069589042551,0.000975340744306541,2.39733007236501e-05,0.0034599335243933,6.17266303412072e-07,0.998342219233687,0.0296852848208781,-1,-1,-1,-1,0,-1,0,0
"AT3G57410",-1.57886470908759,-1.73654803858566,0.000103052520005713,1.07724901886982e-06,-1.65770637383662,5.20648845122915e-05,"villin 3","AT3G57410","AT3G57410_at","ATVLN3 VLN3","Encodes a protein with high homology to animal villin. VLN3 is a Ca2+-regulated villin involved in actin filament bundling.",-1.9,-0.67,-0.99,-1.4,-0.75,-1.8,-0.047,-0.32,5.52339165648481e-07,0.0153896490900615,0.00322629508407662,4.12934789672564e-05,0.0108712850649088,1.2778984160461e-06,0.998342219233687,0.12612905711038,-1,-1,0,-1,0,-1,0,0
"AT5G20885",-1.42795519571188,-1.93325958686203,0.00892114369805543,1.92369960736308e-06,-1.68060739128695,0.00446153369883139,"RING/U-box superfamily protein","AT5G20885","AT5G20885_at",NA,NA,-1.8,-0.36,-0.94,-1.2,-0.81,-1.7,-0.085,-0.37,6.20329609482051e-09,0.0956674614197557,8.44171150473316e-05,8.93590992088471e-07,0.000136345240077166,1.67102902513782e-08,0.998342219233687,0.0290568120941605,-1,0,-1,-1,0,-1,0,0
"AT5G53460",-1.29951709834596,-2.10291188138588,0.0260891616857988,3.4384128106378e-08,-1.70121448986592,0.0130445980349635,"NADH-dependent glutamate synthase 1","AT5G53460","AT5G53460_at","GLT1","NADH-dependent glutamate synthase",-0.96,-0.46,-0.47,-0.52,-0.22,-0.75,-0.1,-0.31,4.48661669157982e-08,0.0307669662914445,0.000720560759006255,5.34271300676188e-05,0.0451678119839504,8.13518453224813e-07,0.998342219233687,0.0802108577328505,-1,0,0,0,0,0,0,0
"AT4G17350",-1.51829629639258,-1.90612239948599,0.000297463756609615,1.86941079864654e-08,-1.71220934793929,0.000148741225358801,"Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region","AT4G17350","AT4G17350_at",NA,NA,0.89,0.47,0.29,1,0.39,0.98,0.24,0.62,8.41878134549072e-05,0.162186386893724,0.238996598570837,4.14454491731086e-05,0.0641873704133739,4.17149629053409e-05,0.998342219233687,0.0334868602837209,1,0,0,1,0,1,0,0
"AT4G18710",-1.61407180747806,-1.81624333333359,0.0112238809212483,0.000614095450058869,-1.71515757040583,0.0059189881856536,"Protein kinase superfamily protein","AT4G18710","AT4G18710_at","ATSK21 BIN2 DWF12 SK21 UCU1","ATSK (shaggy-like kinase) family member that encodes an AtSK protein involved in the cross-talk between auxin and brassinosteroid signaling pathways. BR-INSENSITIVE 2 mutant indicated that the BR-insensitive dwarf phenotype was due to a semidominant mutation in the BIN2. BIN2 is not allelic to BRI1. BIN2-mediated phosphorylation appears to promote BZR1 export from the nucleus.",-0.86,-0.38,-0.64,-0.63,-0.55,-0.84,-0.18,-0.2,1.15132234158677e-07,0.049584489468877,4.90235953266065e-05,7.01890590131413e-06,7.81269444559858e-05,1.94218190166929e-07,0.998342219233687,0.283336852946186,-1,0,0,0,0,-1,0,0
"AT4G22570",-1.37248919355851,-2.07119711152197,0.00121153448962304,6.81461982128321e-12,-1.72184315254024,0.000605767248218832,"adenine phosphoribosyl transferase 3","AT4G22570","AT4G22570_at","APT3","Encodes an adenine phosphoribosyltransferase (APT; EC 2.4.2.7), which is a constitutively expressed enzyme involved in the one-step salvage of adenine to AMP. APT3 has higher affinity for zeatin, isopentenyladenine and benzyladenine than APT1 but lower Vmax than APT1.",-2.7,-0.45,-1.6,-1.8,-1.1,-1.9,-0.23,-0.09,6.64731038265068e-07,0.190695100807596,0.00156797300450317,7.82579847799422e-05,0.00969105603945106,2.67985367954218e-05,0.998342219233687,0.703212180381051,-1,0,-1,-1,0,-1,0,0
"AT3G60080",-1.34603918381766,-2.11084262981769,0.0218722636573529,9.07792633818352e-08,-1.72844090681767,0.0109361772183081,"RING/U-box superfamily protein","AT3G60080","AT3G60080_at",NA,NA,-1,-0.35,-0.56,-0.96,-0.61,-1.3,-0.18,-0.43,4.9625568838483e-06,0.0941338215111826,0.010040479141732,2.38556098314173e-05,0.00261240921414302,6.17429284616117e-07,0.998342219233687,0.0383770310087231,-1,0,0,-1,0,-1,0,0
