gen.id	name	go.id
Zm00001d027431	regulation of DNA-templated transcription	GO:0006355
Zm00001d027431	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027435	regulation of DNA-templated transcription	GO:0006355
Zm00001d027435	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027441	carbohydrate metabolic process	GO:0005975
Zm00001d027441	metabolic process	GO:0008152
Zm00001d027442	translation	GO:0006412
Zm00001d027443	lipid biosynthetic process	GO:0008610
Zm00001d027443	carotenoid biosynthetic process	GO:0016117
Zm00001d027444	regulation of cell population proliferation	GO:0042127
Zm00001d027444	regulation of ribosome biogenesis	GO:0090069
Zm00001d027445	phytosphingosine metabolic process	GO:0006671
Zm00001d027445	phospholipid biosynthetic process	GO:0008654
Zm00001d027445	response to cold	GO:0009409
Zm00001d027445	phosphorylation	GO:0016310
Zm00001d027445	protein insertion into mitochondrial inner membrane	GO:0045039
Zm00001d027446	protein phosphorylation	GO:0006468
Zm00001d027446	phosphorylation	GO:0016310
Zm00001d027447	regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032434
Zm00001d027447	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436
Zm00001d027448	magnesium ion homeostasis	GO:0010960
Zm00001d027450	microtubule cytoskeleton organization	GO:0000226
Zm00001d027451	methylation	GO:0032259
Zm00001d027455	protein phosphorylation	GO:0006468
Zm00001d027455	signal transduction	GO:0007165
Zm00001d027455	phosphorylation	GO:0016310
Zm00001d027455	response to stimulus	GO:0050896
Zm00001d027459	regulation of DNA-templated transcription	GO:0006355
Zm00001d027461	regulation of DNA-templated transcription	GO:0006355
Zm00001d027463	protein phosphorylation	GO:0006468
Zm00001d027463	phosphorylation	GO:0016310
Zm00001d027466	cation transport	GO:0006812
Zm00001d027466	transmembrane transport	GO:0055085
Zm00001d027466	potassium ion transmembrane transport	GO:0071805
Zm00001d027466	proton transmembrane transport	GO:1902600
Zm00001d027467	protein import into nucleus	GO:0006606
Zm00001d027468	organic anion transport	GO:0015711
Zm00001d027468	organophosphate ester transport	GO:0015748
Zm00001d027468	transmembrane transport	GO:0055085
Zm00001d027468	nitrogen compound transport	GO:0071705
Zm00001d027468	mitochondrial ADP transmembrane transport	GO:0140021
Zm00001d027468	mitochondrial ATP transmembrane transport	GO:1990544
Zm00001d027470	chloroplast rRNA processing	GO:1901259
Zm00001d027472	(1->3)-beta-D-glucan biosynthetic process	GO:0006075
Zm00001d027472	regulation of cell shape	GO:0008360
Zm00001d027472	cell wall organization	GO:0071555
Zm00001d027476	DNA replication	GO:0006260
Zm00001d027476	DNA strand elongation involved in DNA replication	GO:0006271
Zm00001d027476	nucleotide-excision repair, DNA gap filling	GO:0006297
Zm00001d027476	DNA synthesis involved in UV-damage excision repair	GO:1904161
Zm00001d027479	DNA metabolic process	GO:0006259
Zm00001d027479	DNA replication	GO:0006260
Zm00001d027479	DNA strand elongation involved in DNA replication	GO:0006271
Zm00001d027480	protein phosphorylation	GO:0006468
Zm00001d027480	response to cold	GO:0009409
Zm00001d027480	phosphorylation	GO:0016310
Zm00001d027480	peptidyl-serine phosphorylation	GO:0018105
Zm00001d027480	intracellular signal transduction	GO:0035556
Zm00001d027480	protein autophosphorylation	GO:0046777
Zm00001d027484	protein glycosylation	GO:0006486
Zm00001d027484	protein N-linked glycosylation via asparagine	GO:0018279
Zm00001d027485	GPI anchor biosynthetic process	GO:0006506
Zm00001d027486	defense response	GO:0006952
Zm00001d027486	response to biotic stimulus	GO:0009607
Zm00001d027487	rRNA catabolic process	GO:0016075
Zm00001d027487	nucleic acid phosphodiester bond hydrolysis	GO:0090305
Zm00001d027487	RNA phosphodiester bond hydrolysis	GO:0090501
Zm00001d027487	RNA phosphodiester bond hydrolysis, exonucleolytic	GO:0090503
Zm00001d027488	glucose metabolic process	GO:0006006
Zm00001d027488	response to cold	GO:0009409
Zm00001d027488	response to light stimulus	GO:0009416
Zm00001d027488	response to sucrose	GO:0009744
Zm00001d027490	ion transport	GO:0006811
Zm00001d027490	ion transmembrane transport	GO:0034220
Zm00001d027490	regulation of intracellular pH	GO:0051453
Zm00001d027490	proton export across plasma membrane	GO:0120029
Zm00001d027490	proton transmembrane transport	GO:1902600
Zm00001d027492	regulation of DNA-templated transcription	GO:0006355
Zm00001d027492	regulation of gene expression	GO:0010468
Zm00001d027494	ion transport	GO:0006811
Zm00001d027494	calcium ion transport	GO:0006816
Zm00001d027494	calcium import into the mitochondrion	GO:0036444
Zm00001d027494	mitochondrial calcium ion homeostasis	GO:0051560
Zm00001d027494	calcium ion transmembrane transport	GO:0070588
Zm00001d027495	DNA metabolic process	GO:0006259
Zm00001d027495	nucleic acid phosphodiester bond hydrolysis	GO:0090305
Zm00001d027497	multicellular organism development	GO:0007275
Zm00001d027497	brassinosteroid homeostasis	GO:0010268
Zm00001d027497	sterol metabolic process	GO:0016125
Zm00001d027497	brassinosteroid biosynthetic process	GO:0016132
Zm00001d027498	actin cytoskeleton organization	GO:0030036
Zm00001d027500	defense response	GO:0006952
Zm00001d027501	DNA-templated transcription initiation	GO:0006352
Zm00001d027501	transcription by RNA polymerase II	GO:0006366
Zm00001d027502	nucleobase-containing compound metabolic process	GO:0006139
Zm00001d027502	nitrogen compound metabolic process	GO:0006807
Zm00001d027502	phosphorylation	GO:0016310
Zm00001d027502	nucleoside monophosphate phosphorylation	GO:0046940
Zm00001d027503	endocytosis	GO:0006897
Zm00001d027503	endosomal transport	GO:0016197
Zm00001d027508	protein phosphorylation	GO:0006468
Zm00001d027508	phosphorylation	GO:0016310
Zm00001d027509	protein phosphorylation	GO:0006468
Zm00001d027509	phosphorylation	GO:0016310
Zm00001d027510	regulation of DNA-templated transcription	GO:0006355
Zm00001d027511	response to reactive oxygen species	GO:0000302
Zm00001d027511	response to oxidative stress	GO:0006979
Zm00001d027511	response to abiotic stimulus	GO:0009628
Zm00001d027511	response to hormone	GO:0009725
Zm00001d027511	response to hydrogen peroxide	GO:0042542
Zm00001d027511	hydrogen peroxide catabolic process	GO:0042744
Zm00001d027511	cellular oxidant detoxification	GO:0098869
Zm00001d027512	ribosomal large subunit assembly	GO:0000027
Zm00001d027512	translation	GO:0006412
Zm00001d027514	ubiquitin-dependent protein catabolic process	GO:0006511
Zm00001d027515	tRNA 3'-terminal CCA addition	GO:0001680
Zm00001d027515	RNA processing	GO:0006396
Zm00001d027515	mitochondrial mRNA polyadenylation	GO:0097222
Zm00001d027519	phenylpropanoid metabolic process	GO:0009698
Zm00001d027520	anatomical structure morphogenesis	GO:0009653
Zm00001d027523	protein phosphorylation	GO:0006468
Zm00001d027523	brassinosteroid mediated signaling pathway	GO:0009742
Zm00001d027523	phosphorylation	GO:0016310
Zm00001d027524	polysaccharide catabolic process	GO:0000272
Zm00001d027524	carbohydrate metabolic process	GO:0005975
Zm00001d027524	chitin catabolic process	GO:0006032
Zm00001d027524	metabolic process	GO:0008152
Zm00001d027524	cell wall macromolecule catabolic process	GO:0016998
Zm00001d027524	defense response to fungus	GO:0050832
Zm00001d027525	polysaccharide catabolic process	GO:0000272
Zm00001d027525	carbohydrate metabolic process	GO:0005975
Zm00001d027525	chitin catabolic process	GO:0006032
Zm00001d027525	metabolic process	GO:0008152
Zm00001d027525	cell wall macromolecule catabolic process	GO:0016998
Zm00001d027525	defense response to fungus	GO:0050832
Zm00001d027527	ribosomal small subunit assembly	GO:0000028
Zm00001d027527	cytoplasmic translation	GO:0002181
Zm00001d027527	translation	GO:0006412
Zm00001d027530	regulation of DNA-templated transcription	GO:0006355
Zm00001d027534	phenylpropanoid metabolic process	GO:0009698
Zm00001d027534	organic substance metabolic process	GO:0071704
Zm00001d027535	phenylpropanoid metabolic process	GO:0009698
Zm00001d027536	cysteine biosynthetic process from serine	GO:0006535
Zm00001d027536	cysteine biosynthetic process	GO:0019344
Zm00001d027539	response to chemical	GO:0042221
Zm00001d027540	response to chemical	GO:0042221
Zm00001d027541	response to chemical	GO:0042221
Zm00001d027542	response to chemical	GO:0042221
Zm00001d027545	plant-type primary cell wall biogenesis	GO:0009833
Zm00001d027545	mannosylation	GO:0097502
Zm00001d027546	regulation of DNA-templated transcription	GO:0006355
Zm00001d027546	regulation of defense response	GO:0031347
Zm00001d027551	methylation	GO:0032259
Zm00001d027551	positive regulation of DNA-templated transcription	GO:0045893
Zm00001d027557	glutathione metabolic process	GO:0006749
Zm00001d027557	response to chemical	GO:0042221
Zm00001d027558	tricarboxylic acid cycle	GO:0006099
Zm00001d027558	citrate metabolic process	GO:0006101
Zm00001d027558	oxoacid metabolic process	GO:0043436
Zm00001d027566	translational initiation	GO:0006413
Zm00001d027567	electron transport chain	GO:0022900
Zm00001d027567	P450-containing electron transport chain	GO:0140647
Zm00001d027570	peptidyl-threonine dephosphorylation	GO:0035970
Zm00001d027571	peptidyl-threonine dephosphorylation	GO:0035970
Zm00001d027572	peptidyl-threonine dephosphorylation	GO:0035970
Zm00001d027576	box C/D snoRNP assembly	GO:0000492
Zm00001d027577	attachment of mitotic spindle microtubules to kinetochore	GO:0051315
Zm00001d027577	kinetochore assembly	GO:0051382
Zm00001d027577	monopolar spindle attachment to meiosis I kinetochore	GO:0051455
Zm00001d027580	inorganic anion transport	GO:0015698
Zm00001d027580	transmembrane transport	GO:0055085
Zm00001d027580	anion transmembrane transport	GO:0098656
Zm00001d027582	ion transport	GO:0006811
Zm00001d027582	magnesium ion transport	GO:0015693
Zm00001d027582	magnesium ion transmembrane transport	GO:1903830
Zm00001d027583	peptidyl-threonine dephosphorylation	GO:0035970
Zm00001d027585	phosphorylation	GO:0016310
Zm00001d027585	negative regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0045736
Zm00001d027585	regulation of cell cycle	GO:0051726
Zm00001d027589	male meiosis II	GO:0007142
Zm00001d027593	dipeptide transmembrane transport	GO:0035442
Zm00001d027593	dipeptide transport	GO:0042938
Zm00001d027593	tripeptide transport	GO:0042939
Zm00001d027593	transmembrane transport	GO:0055085
Zm00001d027598	regulation of flower development	GO:0009909
Zm00001d027607	plasmodesmata-mediated intercellular transport	GO:0010497
Zm00001d027607	transport of virus in multicellular host	GO:0046739
Zm00001d027612	translation	GO:0006412
Zm00001d027612	tRNA aminoacylation for protein translation	GO:0006418
Zm00001d027612	glutamyl-tRNA aminoacylation	GO:0006424
Zm00001d027612	post-embryonic development	GO:0009791
Zm00001d027612	tRNA aminoacylation	GO:0043039
Zm00001d027612	reproductive structure development	GO:0048608
Zm00001d027618	translation	GO:0006412
Zm00001d027619	polysaccharide catabolic process	GO:0000272
Zm00001d027619	carbohydrate metabolic process	GO:0005975
Zm00001d027619	metabolic process	GO:0008152
Zm00001d027621	primary metabolic process	GO:0044238
Zm00001d027621	cellular macromolecule metabolic process	GO:0044260
Zm00001d027622	primary metabolic process	GO:0044238
Zm00001d027622	cellular macromolecule metabolic process	GO:0044260
Zm00001d027623	regulation of DNA-templated transcription	GO:0006355
Zm00001d027625	transmembrane transport	GO:0055085
Zm00001d027626	RNA methylation	GO:0001510
Zm00001d027626	tRNA methylation	GO:0030488
Zm00001d027626	methylation	GO:0032259
Zm00001d027633	cell morphogenesis	GO:0000902
Zm00001d027633	regulation of translation	GO:0006417
Zm00001d027633	regulation of actin filament polymerization	GO:0030833
Zm00001d027645	protein phosphorylation	GO:0006468
Zm00001d027645	phosphorylation	GO:0016310
Zm00001d027648	protein ubiquitination	GO:0016567
Zm00001d027648	positive regulation of protein catabolic process	GO:0045732
Zm00001d027649	ubiquitin-dependent protein catabolic process	GO:0006511
Zm00001d027649	protein ubiquitination	GO:0016567
Zm00001d027649	primary metabolic process	GO:0044238
Zm00001d027649	cellular macromolecule metabolic process	GO:0044260
Zm00001d027651	autophagosome assembly	GO:0000045
Zm00001d027651	autophagy of mitochondrion	GO:0000422
Zm00001d027651	autophagy of nucleus	GO:0044804
Zm00001d027652	water transport	GO:0006833
Zm00001d027652	vacuole organization	GO:0007033
Zm00001d027652	unidimensional cell growth	GO:0009826
Zm00001d027652	leaf development	GO:0048366
Zm00001d027652	transmembrane transport	GO:0055085
Zm00001d027655	cell cycle	GO:0007049
Zm00001d027655	regulation of mitotic cell cycle	GO:0007346
Zm00001d027655	phosphorylation	GO:0016310
Zm00001d027655	positive regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0045737
Zm00001d027655	regulation of catalytic activity	GO:0050790
Zm00001d027655	cell division	GO:0051301
Zm00001d027656	cell death	GO:0008219
Zm00001d027656	flower development	GO:0009908
Zm00001d027656	fruit development	GO:0010154
Zm00001d027656	chlorophyll catabolic process	GO:0015996
Zm00001d027656	defense response to bacterium	GO:0042742
Zm00001d027667	transmembrane transport	GO:0055085
Zm00001d027671	methylation	GO:0032259
Zm00001d027671	macromolecule methylation	GO:0043414
Zm00001d027671	mRNA methylation	GO:0080009
Zm00001d027671	nucleic acid metabolic process	GO:0090304
Zm00001d027672	signal peptide processing	GO:0006465
Zm00001d027672	proteolysis	GO:0006508
Zm00001d027672	protein processing involved in protein targeting to mitochondrion	GO:0006627
Zm00001d027675	protein polyubiquitination	GO:0000209
Zm00001d027675	ubiquitin-dependent protein catabolic process	GO:0006511
Zm00001d027676	protein phosphorylation	GO:0006468
Zm00001d027676	phosphorylation	GO:0016310
Zm00001d027677	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027678	hormone-mediated signaling pathway	GO:0009755
Zm00001d027678	positive regulation of DNA-templated transcription	GO:0045893
Zm00001d027679	hormone-mediated signaling pathway	GO:0009755
Zm00001d027679	lateral root formation	GO:0010311
Zm00001d027679	positive regulation of DNA-templated transcription	GO:0045893
Zm00001d027679	adventitious root development	GO:0048830
Zm00001d027682	transmembrane transport	GO:0055085
Zm00001d027688	ubiquitin-dependent protein catabolic process	GO:0006511
Zm00001d027688	proteasomal protein catabolic process	GO:0010498
Zm00001d027688	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161
Zm00001d027688	proteolysis involved in protein catabolic process	GO:0051603
Zm00001d027694	isoprenoid biosynthetic process	GO:0008299
Zm00001d027694	plastoquinone biosynthetic process	GO:0010236
Zm00001d027698	methylation	GO:0032259
Zm00001d027699	protein insertion into mitochondrial inner membrane	GO:0045039
Zm00001d027706	maturation of SSU-rRNA	GO:0030490
Zm00001d027707	cell cycle	GO:0007049
Zm00001d027707	ubiquitin-dependent ERAD pathway	GO:0030433
Zm00001d027707	retrograde protein transport, ER to cytosol	GO:0030970
Zm00001d027707	mitotic spindle disassembly	GO:0051228
Zm00001d027707	cell division	GO:0051301
Zm00001d027707	ER-associated misfolded protein catabolic process	GO:0071712
Zm00001d027707	autophagosome maturation	GO:0097352
Zm00001d027709	regulation of DNA-templated transcription	GO:0006355
Zm00001d027709	regulation of transcription by RNA polymerase II	GO:0006357
